number,word,example
6010.0,comprise,"This textbook comprises ten chapters, each covering a different aspect of the subject."
6010.0,comprise,"The final grade will comprise 50% exam scores, 30% homework, and 20% class participation."
6010.0,comprise,"A balanced diet should comprise a variety of fruits, vegetables, and lean proteins."
6011.0,dictation,The teacher gave us a dictation exercise to improve our spelling and listening skills.
6011.0,dictation,Taking notes during the lecture felt more like dictation than actual learning.
6011.0,dictation,My grandmother used to give me dictation from classic novels to help me learn proper grammar.
6011.0,dictation,The legal secretary's primary job was to take dictation and transcribe it accurately.
6011.0,dictation,"Despite advances in technology, some doctors still prefer using dictation to record their patient notes."
6012.0,amazement,She stared at the magician in utter amazement as he made the rabbit disappear.
6012.0,amazement,"To my amazement, the old car started right up after sitting in the garage for twenty years."
6012.0,amazement,The crowd gasped in amazement as the tightrope walker completed the crossing without a safety net.
6012.0,amazement,"He looked at the final bill with amazement, unable to believe how much the repairs had cost."
6012.0,amazement,The sheer size of the ancient redwood forest filled her with a sense of awe and amazement.
6013.0,contradict,"His actions often contradict his words, making it hard to trust him."
6013.0,contradict,The witness's testimony seemed to contradict the evidence found at the crime scene.
6013.0,contradict,"I hate to contradict you, but I believe the meeting is actually scheduled for next Tuesday."
6013.0,contradict,"The new data appears to contradict the previously accepted theory, forcing scientists to re-evaluate their assumptions."
6013.0,contradict,Don't contradict me in front of the clients; we can discuss our disagreements later in private.
6014.0,hypothesis,"Based on the initial observations, we developed a hypothesis that the new fertilizer would increase crop yield by at least 20%."
6014.0,hypothesis,The student's science fair project involved testing the hypothesis that exposure to blue light affects plant growth.
6014.0,hypothesis,"While the data seems to support our hypothesis, further research is needed to confirm the findings."
6014.0,hypothesis,"My initial hypothesis about why the computer was crashing turned out to be incorrect; it was a software conflict, not a hardware issue."
6014.0,hypothesis,"Let's start with the working hypothesis that the missing file was accidentally deleted, and then investigate from there."
6015.0,cripple,The sudden loss of their main client threatened to cripple the small business.
6015.0,cripple,A bad fall during the hike could cripple his chances of finishing the race.
6015.0,cripple,The government's new policies are designed to cripple the power of the unions.
6015.0,cripple,Fear and anxiety can cripple your ability to make rational decisions.
6015.0,cripple,"Although the accident left him with a limp, it didn't cripple his spirit or his determination to live a full life."
6016.0,lieutenant,"The lieutenant briefed the squad on their upcoming mission, emphasizing the importance of teamwork."
6016.0,lieutenant,"Having served with distinction, she was promoted to lieutenant after graduating top of her class at the academy."
6016.0,lieutenant,"Lieutenant Dan, a character from the movie Forrest Gump, became an iconic figure in popular culture."
6016.0,lieutenant,"The captain relied heavily on his lieutenant's judgment, especially during stressful situations on the battlefield."
6016.0,lieutenant,"Before the mayor arrived, the lieutenant governor addressed the crowd, outlining the state's plans for economic development."
6017.0,wheelchair,"After the accident, she needed a wheelchair to get around."
6017.0,wheelchair,"The museum is fully accessible, with ramps and wheelchair-friendly restrooms."
6017.0,wheelchair,He skillfully navigated the crowded market in his electric wheelchair.
6017.0,wheelchair,"My grandfather uses a wheelchair, but he still enjoys going to the park every day."
6017.0,wheelchair,"We need to raise money to buy a new, lighter wheelchair for the athlete."
6018.0,locomotive,"The museum has a beautifully restored steam locomotive on display, allowing visitors to step inside and imagine a bygone era of rail travel."
6018.0,locomotive,The sound of the locomotive's horn echoed through the valley as it approached the crossing.
6018.0,locomotive,Modern electric locomotives are much more energy-efficient than their diesel counterparts.
6018.0,locomotive,"The train pulled into the station, its locomotive hissing steam and ready for a crew change."
6018.0,locomotive,"He dreamed of being an engineer, spending his days in the cab of a powerful locomotive, transporting goods across the country."
6019.0,deafen,The explosion was so loud it threatened to deafen everyone nearby.
6019.0,deafen,I had to cover my ears; the band's amplified music was starting to deafen me.
6019.0,deafen,The constant construction noise outside my apartment window is enough to deafen a person.
6019.0,deafen,"Don't stand too close to the speakers, or you'll deafen yourself."
6019.0,deafen,The air raid siren's piercing wail seemed designed to deafen anyone who didn't take cover immediately.
6020.0,optimism,"Despite the setbacks, her unwavering optimism kept the team motivated to finish the project."
6020.0,optimism,A healthy dose of optimism can make even the most challenging situations feel manageable.
6020.0,optimism,"While realism is important, I think a little optimism about the future is necessary for personal growth."
6020.0,optimism,"His natural optimism was infectious, making everyone around him feel more positive."
6020.0,optimism,"The economic forecast is uncertain, but there's still room for optimism if we focus on innovation."
6021.0,doom,"The impending storm clouds filled the sky, adding a sense of doom to the already gloomy afternoon."
6021.0,doom,"Despite the doctor's grim prognosis, she refused to accept a feeling of doom and remained optimistic about her recovery."
6021.0,doom,His financial advisor warned that continuing to spend at that rate would spell doom for his retirement savings.
6021.0,doom,"The abandoned factory stood as a stark reminder of economic doom, a testament to the town's decline."
6021.0,doom,The latest climate change report paints a picture of potential environmental doom if drastic action isn't taken soon.
6022.0,bankruptcy,"The company's aggressive expansion led to unsustainable debt and, ultimately, bankruptcy."
6022.0,bankruptcy,"After the housing market crash, many families faced foreclosure and bankruptcy."
6022.0,bankruptcy,"He tried to avoid bankruptcy by selling off his assets, but it was too late."
6022.0,bankruptcy,"Filing for bankruptcy can provide a fresh start, but it also significantly damages your credit score."
6022.0,bankruptcy,The small business owner was devastated when the economic downturn forced him into bankruptcy.
6023.0,cylinder,The mechanic replaced the worn-out brake cylinder in my car.
6023.0,cylinder,We needed a hollow cylinder of a specific diameter for the experimental apparatus.
6023.0,cylinder,The art project involved painting several cardboard cylinders to resemble skyscrapers.
6023.0,cylinder,"The oxygen tank is a heavy steel cylinder, so be careful when moving it."
6023.0,cylinder,Engineers calculated the volume of the cylinder to determine the engine's displacement.
6024.0,enhance,The new lighting system will significantly enhance the ambiance of the restaurant.
6024.0,enhance,Regular exercise can enhance your overall health and well-being.
6024.0,enhance,Adding a pinch of salt can enhance the flavor of the tomato sauce.
6024.0,enhance,We used special effects to enhance the realism of the action scenes in the movie.
6024.0,enhance,Taking a public speaking course can enhance your communication skills and boost your confidence.
6025.0,enrich,Travel can enrich your life by exposing you to different cultures and perspectives.
6025.0,enrich,Adding herbs and spices can enrich the flavor of a simple dish.
6025.0,enrich,The museum's new exhibit aims to enrich the public's understanding of ancient civilizations.
6025.0,enrich,Volunteering at the local animal shelter is a great way to enrich your community and make a positive impact.
6025.0,enrich,Reading widely and engaging in intellectual discussions can significantly enrich your vocabulary and knowledge base.
6026.0,expertise,Her expertise in data analysis was crucial to the success of the project.
6026.0,expertise,We need to consult with someone who has expertise in antique furniture restoration.
6026.0,expertise,The company hired a consultant to provide expertise on improving their supply chain management.
6026.0,expertise,"Although he was enthusiastic, he lacked the necessary expertise to handle such a complex negotiation."
6026.0,expertise,Dr. Ramirez's expertise in cardiology is highly respected throughout the medical community.
6027.0,intensive,The patient required intensive care after the surgery to monitor his vital signs closely.
6027.0,intensive,She enrolled in an intensive Spanish course to become fluent before her study abroad program.
6027.0,intensive,The company launched an intensive marketing campaign to promote their new product line.
6027.0,intensive,Farmers are using intensive farming methods to maximize crop yields on limited land.
6027.0,intensive,The detectives conducted an intensive investigation to solve the complex murder case.
6028.0,smog,"The thick smog hung over the city, making it difficult to see the skyscrapers in the distance."
6028.0,smog,Doctors are warning residents to stay indoors due to the high smog levels predicted for tomorrow.
6028.0,smog,Driving is especially dangerous in heavy smog because visibility is severely reduced.
6028.0,smog,The government is implementing new regulations to combat the smog that plagues the industrial areas.
6028.0,smog,"You can almost taste the smog in the air on days like this, it's so thick with pollutants."
6029.0,envelop,"A thick fog began to envelop the coastline, making it difficult to see the ships at sea."
6029.0,envelop,"The detective needed to carefully open the envelope, ensuring he didn't damage the evidence inside."
6029.0,envelop,"As she stepped onto the stage, a wave of nervousness seemed to envelop her completely."
6029.0,envelop,"The warmth of the blanket seemed to envelop him, creating a feeling of comfort and security on the cold night."
6029.0,envelop,"The company's financial troubles began to envelop its smaller divisions, threatening their survival."
6030.0,soloist,The orchestra featured a renowned violinist as the soloist for the Tchaikovsky concerto.
6030.0,soloist,"She decided to pursue a career as a soloist, leaving the band to focus on her own music."
6030.0,soloist,"He's a talented soloist, but he also enjoys collaborating with other musicians in smaller ensembles."
6030.0,soloist,The choir director selected her to be the soprano soloist for the upcoming performance of Handel's Messiah.
6030.0,soloist,"Despite his nerves, the young trumpeter delivered a stunning solo, proving he was a gifted soloist."
6031.0,expressive,Her expressive eyes conveyed a depth of emotion that words couldn't capture.
6031.0,expressive,The dancer's expressive movements told a story of love and loss.
6031.0,expressive,"Even though he's usually quiet, his paintings are incredibly expressive and full of life."
6031.0,expressive,The comedian used expressive gestures and facial expressions to enhance his jokes.
6031.0,expressive,Writing a letter is a more expressive way to communicate than sending a quick text message.
6032.0,excel,She hopes to excel in her chosen field of medicine after years of dedicated study.
6032.0,excel,"Despite the challenges, he managed to excel in mathematics and physics, becoming a top student."
6032.0,excel,The company's new marketing strategy helped them excel in a competitive market.
6032.0,excel,"To excel in customer service, you need empathy and excellent communication skills."
6032.0,excel,"He didn't always excel academically, but he truly excelled at sports, becoming a star athlete."
6033.0,plaster,"After the fall, she needed a plaster cast on her arm to help the bone heal properly."
6033.0,plaster,He used plaster to patch up the hole in the wall before painting.
6033.0,plaster,The walls of the old house were covered in ornate plaster moldings.
6033.0,plaster,The news report was plastered all over the front pages of the newspapers.
6033.0,plaster,I accidentally got some plaster dust in my eye while renovating the bathroom.
6034.0,flake,I noticed a flake of dandruff on your shoulder.
6034.0,flake,He's such a flake; he always cancels plans at the last minute.
6034.0,flake,The paint is starting to flake off the old wooden fence.
6034.0,flake,She added a pinch of red pepper flake to give the sauce some heat.
6034.0,flake,"During the winter, I love watching the snow flake gently down from the sky."
6035.0,lavatory,"Excuse me, could you please direct me to the nearest lavatory?"
6035.0,lavatory,"The sign above the door simply read 'Lavatory' in elegant, gold lettering."
6035.0,lavatory,"After a long car ride, the first thing I needed was to find a lavatory to freshen up."
6035.0,lavatory,"During the intermission, there was quite a queue for the lavatory."
6035.0,lavatory,"The airplane's lavatory was surprisingly small, making it difficult to maneuver inside."
6036.0,madly,She was madly in love with him from the moment they met.
6036.0,madly,The crowd cheered madly as the home team scored the winning goal.
6036.0,madly,He worked madly to finish the project before the deadline.
6036.0,madly,"The dog barked madly at the mailman, much to his annoyance."
6036.0,madly,I was searching madly for my keys this morning and almost missed my train.
6037.0,flap,"The bird began to flap its wings furiously, trying to escape the cat."
6037.0,flap,I could hear the loose shutter flap against the side of the house in the wind.
6037.0,flap,Don't get in a flap about it; we have plenty of time to finish the project.
6037.0,flap,"He reached into his bag and pulled out a map, unfolding the large flap to reveal the detailed street grid."
6037.0,flap,"The tent's entrance flap was zipped halfway open, letting in a sliver of light."
6038.0,thunderstorm,"The power went out during the thunderstorm last night, so we had to light candles."
6038.0,thunderstorm,We decided to postpone the picnic because the forecast predicted a severe thunderstorm.
6038.0,thunderstorm,I love watching the lightning flash across the sky during a summer thunderstorm.
6038.0,thunderstorm,The dog is terrified of thunderstorms and hides under the bed until it's over.
6038.0,thunderstorm,"Despite the initial thunderstorm, the sun came out later in the afternoon, making for a beautiful day."
6039.0,flush,He felt a flush of embarrassment creep up his neck when he realized he'd called her by the wrong name.
6039.0,flush,Remember to flush the toilet after you use it.
6039.0,flush,The poker player tried to hide his flush of excitement when he drew a royal flush.
6039.0,flush,We need to flush the old coolant out of the radiator before adding new antifreeze.
6039.0,flush,The door should sit flush with the wall when it's properly installed.
6040.0,indignation,Her voice was filled with indignation as she described the unfair treatment she'd received at work.
6040.0,indignation,The article sparked widespread indignation among animal rights activists.
6040.0,indignation,"He stormed out of the meeting, muttering under his breath with barely suppressed indignation."
6040.0,indignation,"Despite his indignation, he tried to remain calm and present his case logically."
6040.0,indignation,The townspeople expressed their indignation at the proposed factory construction near the protected wetlands.
6041.0,heighten,The security measures were heightened after the bomb threat.
6041.0,heighten,The dramatic music was used to heighten the tension in the scene.
6041.0,heighten,His recent success did nothing to heighten his already considerable ego.
6041.0,heighten,The aroma of freshly baked bread will heighten your appetite.
6041.0,heighten,Living in a new country can heighten your awareness of cultural differences.
6042.0,contradiction,"There's a clear contradiction between his words and his actions; he says he cares about the environment, but he drives a gas-guzzling SUV."
6042.0,contradiction,The historian pointed out the inherent contradiction in the king's claim to rule by divine right while simultaneously demanding absolute obedience from the church.
6042.0,contradiction,Isn't it a contradiction to call yourself a vegetarian but still eat fish?
6042.0,contradiction,"The politician's statement was full of contradiction, making it difficult to understand his actual stance on the issue."
6042.0,contradiction,"The paradox seemed like a contradiction at first, but after further analysis, we realized it contained a deeper truth."
6043.0,hush,A sudden hush fell over the crowd as the bride walked down the aisle.
6043.0,hush,"""Hush now,"" she whispered, gently rocking the baby to sleep."
6043.0,hush,Let's keep this project under hush until we're ready to announce it publicly.
6043.0,hush,"The teacher tried to hush the noisy students, but they wouldn't listen."
6043.0,hush,A hush descended upon the forest as the first snowflakes began to fall.
6044.0,lecturer,The lecturer recommended several books for further reading on the topic of astrophysics.
6044.0,lecturer,"After graduating with her PhD, she hopes to become a lecturer at a prestigious university."
6044.0,lecturer,I found the lecturer's explanation of quantum mechanics surprisingly clear and concise.
6044.0,lecturer,"He was a popular lecturer, known for his engaging style and ability to connect with students."
6044.0,lecturer,The visiting lecturer from Oxford gave a fascinating talk on the history of the English language.
6045.0,illuminate,"The streetlights illuminate the path, making it safe to walk at night."
6045.0,illuminate,Could you illuminate the key issues in this report so we can focus our discussion?
6045.0,illuminate,A single spotlight was used to illuminate the statue during the ceremony.
6045.0,illuminate,"The professor's lecture seemed to illuminate a complex topic, making it much easier to understand."
6045.0,illuminate,New evidence came to light that helped to illuminate the circumstances surrounding the accident.
6046.0,wintertime,We always enjoy hot chocolate by the fire during wintertime.
6046.0,wintertime,The ski resort is especially busy during the wintertime months.
6046.0,wintertime,Many animals hibernate to conserve energy during the harsh wintertime.
6046.0,wintertime,She finds it hard to stay motivated to exercise during wintertime.
6046.0,wintertime,The short days and long nights of wintertime can sometimes affect my mood.
6047.0,prevailing,"Despite the initial setbacks, a sense of optimism is prevailing among the team members."
6047.0,prevailing,The prevailing wind made it difficult to sail close to the shore.
6047.0,prevailing,The prevailing opinion at the meeting was that we should postpone the project until next year.
6047.0,prevailing,"Although there are some dissenting voices, the prevailing view is that climate change requires immediate action."
6047.0,prevailing,We need to understand the prevailing economic conditions before making any major investment decisions.
6048.0,incorporate,The company plans to incorporate new sustainable practices into its manufacturing process.
6048.0,incorporate,This software allows you to easily incorporate images and videos into your presentations.
6048.0,incorporate,We need to incorporate your feedback into the final design before submitting it to the client.
6048.0,incorporate,The recipe incorporates a blend of spices to create a rich and complex flavor.
6048.0,incorporate,The artist decided to incorporate elements of nature into his abstract paintings.
6049.0,raid,The police conducted a raid on the gambling den early this morning.
6049.0,raid,I had to raid the refrigerator for a midnight snack because I was so hungry.
6049.0,raid,The Vikings were known to raid coastal villages for resources and slaves.
6049.0,raid,Environmental activists staged a raid on the company headquarters to protest their polluting practices.
6049.0,raid,"After the successful heist, the thieves split the raid's loot among themselves."
6050.0,metropolitan,The new art museum has become a major attraction in the metropolitan area.
6050.0,metropolitan,She decided to move from the countryside to a more metropolitan city to pursue her career in fashion.
6050.0,metropolitan,Our company is planning to expand its services to several other metropolitan centers across the country.
6050.0,metropolitan,Living in a metropolitan environment offers access to a wide variety of cultural events and diverse cuisines.
6050.0,metropolitan,"Despite the higher cost of living, many people are drawn to the vibrant and dynamic atmosphere of metropolitan life."
6051.0,intensify,"As the deadline approached, the pressure to finish the project began to intensify."
6051.0,intensify,The chef decided to intensify the flavor of the sauce by adding more herbs and spices.
6051.0,intensify,The ongoing drought is expected to intensify the risk of wildfires in the region.
6051.0,intensify,His feelings for her began to intensify after spending more time together.
6051.0,intensify,The police are working to intensify their efforts to find the missing child.
6052.0,intake,The doctor recommended I increase my water intake to help prevent dehydration.
6052.0,intake,The company is limiting its intake of new employees due to the current economic downturn.
6052.0,intake,Our daily calorie intake should be balanced with our level of physical activity.
6052.0,intake,The air filter significantly improved the intake of fresh air into the building.
6052.0,intake,"Before starting the experiment, we carefully measured the exact intake of reactants into the reactor."
6053.0,lengthen,"To lengthen the skirt, she added a frill of lace to the hem."
6053.0,lengthen,The company decided to lengthen the project deadline to allow for more thorough testing.
6053.0,lengthen,Regular stretching can help to lengthen your muscles and improve flexibility.
6053.0,lengthen,The days begin to lengthen noticeably after the winter solstice.
6053.0,lengthen,We need to lengthen the rope if we want to reach the other side of the ravine.
6054.0,rehabilitation,"After his knee surgery, he spent several weeks in rehabilitation to regain his strength and mobility."
6054.0,rehabilitation,The wildlife center focuses on the rehabilitation of injured birds and mammals before releasing them back into the wild.
6054.0,rehabilitation,"Drug rehabilitation is a long and challenging process, but it can lead to a healthier and more fulfilling life."
6054.0,rehabilitation,The prison system is implementing new rehabilitation programs aimed at reducing recidivism rates.
6054.0,rehabilitation,She's been working hard in physical therapy as part of her rehabilitation following the car accident.
6055.0,cane,My grandfather uses a cane to help him walk after his hip surgery.
6055.0,cane,"The antique shop had a beautiful collection of walking canes, some with ornate silver handles."
6055.0,cane,"I saw a woman walking her dog down the street, swinging her cane rhythmically."
6055.0,cane,"He threatened to cane the misbehaving students, although thankfully, he never actually did."
6055.0,cane,The farmer used a cane to guide the cows into the barn.
6056.0,lessen,Taking deep breaths can often lessen the feeling of anxiety during a stressful situation.
6056.0,lessen,The new regulations are intended to lessen the environmental impact of the factory's operations.
6056.0,lessen,Regular exercise and a healthy diet can lessen your risk of developing heart disease.
6056.0,lessen,The company implemented new safety protocols to lessen the chances of workplace accidents.
6056.0,lessen,I hope this medicine will lessen the pain in my back so I can finally get a good night's sleep.
6057.0,bruise,I fell off my bike yesterday and now I have a nasty bruise on my knee.
6057.0,bruise,"The doctor examined the child carefully, noting a small bruise on her arm."
6057.0,bruise,"After the soccer game, my shins were covered in bruises from all the tackles."
6057.0,bruise,"She tried to cover up the bruise on her face with makeup, but it was still slightly visible."
6057.0,bruise,He accidentally bumped into the doorframe and ended up with a painful bruise on his forehead.
6058.0,recollection,"My recollection of that evening is hazy, but I do remember laughing a lot."
6058.0,recollection,"To the best of my recollection, I locked the door before leaving the house."
6058.0,recollection,His book is filled with vivid recollections of his childhood in rural Ireland.
6058.0,recollection,"After the accident, she had no recollection of what had happened in the moments leading up to it."
6058.0,recollection,"I have a vague recollection of seeing that movie when I was very young, but I can't remember the plot."
6059.0,debut,The young singer is set to make her debut on the national stage next month.
6059.0,debut,The company's new electric car will debut at the Geneva Motor Show in March.
6059.0,debut,"Her directorial debut was a critical and commercial success, earning her several awards."
6059.0,debut,"After years of training, he's finally ready to make his professional boxing debut."
6059.0,debut,"The band's debut album quickly climbed the charts, exceeding all expectations."
6060.0,temporarily,The museum is temporarily closed for renovations and will reopen next month.
6060.0,temporarily,I'm temporarily staying with my sister while I look for a new apartment.
6060.0,temporarily,The website may be temporarily unavailable due to scheduled maintenance.
6060.0,temporarily,Please excuse the mess; we've temporarily moved the furniture to paint the living room.
6060.0,temporarily,"The CEO will be temporarily stepping down due to a medical leave, with the CFO taking over her responsibilities."
6061.0,lighten,Could you lighten the mood by telling a joke?
6061.0,lighten,I need to lighten my suitcase before going to the airport; it's too heavy.
6061.0,lighten,The new curtains really lighten up the living room.
6061.0,lighten,They decided to lighten the company's workload by hiring more employees.
6061.0,lighten,"Perhaps a new coat of paint will lighten the appearance of the old, dark furniture."
6062.0,nationalize,The government decided to nationalize the failing railway system in an effort to save jobs and improve service.
6062.0,nationalize,"After the revolution, the new regime moved quickly to nationalize all foreign-owned oil companies."
6062.0,nationalize,There's been a lot of debate about whether the government should nationalize the healthcare industry.
6062.0,nationalize,The threat of nationalization has caused investors to become wary of investing in the country's mining sector.
6062.0,nationalize,Some economists argue that nationalizing key industries can lead to greater efficiency and lower prices for consumers.
6063.0,miner,My grandfather was a coal miner in West Virginia for over 30 years.
6063.0,miner,The news reported on the trapped miners and the rescue efforts underway.
6063.0,miner,"He invested his savings in Bitcoin, hoping to profit from the cryptocurrency miner rewards."
6063.0,miner,The town's economy suffered greatly after the local copper miner closed down.
6063.0,miner,The environmental impact of the gold miner's operations is a major concern for the local community.
6064.0,preface,"In his preface, the author explains the motivations behind writing the book and the challenges he faced."
6064.0,preface,The professor used a brief preface to the lecture to outline the key concepts they would be covering that day.
6064.0,preface,"Before we begin the meeting, I'd like to preface my remarks by saying that I'm still gathering information on this topic."
6064.0,preface,The editor suggested adding a preface to provide context for readers unfamiliar with the historical period.
6064.0,preface,"As a preface to the main course, we'll be serving a light salad with a vinaigrette dressing."
6065.0,precede,A formal apology should precede any attempt to reconcile.
6065.0,precede,"The band's earlier, punk-influenced albums precede their more recent, experimental work."
6065.0,precede,Please ensure that all safety precautions precede the start of the experiment.
6065.0,precede,A period of heavy rain will precede the arrival of the cold front.
6065.0,precede,"The opening act will precede the main performance, so be sure to arrive on time."
6066.0,appendix,The author included a detailed statistical analysis in the appendix of the research paper.
6066.0,appendix,"I'm experiencing severe abdominal pain; the doctor suspects it might be appendicitis, an inflammation of the appendix."
6066.0,appendix,Please refer to the appendix at the end of the manual for troubleshooting tips and detailed specifications.
6066.0,appendix,"The appendix of the book contains supplementary materials, such as maps and genealogical charts, that provide additional context."
6066.0,appendix,"During the surgery, they discovered that my appendix had already ruptured, leading to a more complicated procedure."
6067.0,pulse,I could feel the pulse of the music through the floorboards as the band played.
6067.0,pulse,The doctor checked my pulse and blood pressure during the routine physical exam.
6067.0,pulse,There was a definite pulse of excitement in the crowd as the game went into overtime.
6067.0,pulse,"The city has a vibrant pulse, with something always happening, day or night."
6067.0,pulse,"After running the marathon, it took a while for my pulse to return to normal."
6068.0,quicken,The approaching deadline seemed to quicken the pace of work in the office.
6068.0,quicken,A walk in the cool morning air can quicken your senses and make you feel more alert.
6068.0,quicken,Hearing the good news about her promotion made her heart quicken with excitement.
6068.0,quicken,Adding lemon juice to the sauce will quicken the cooking time and brighten the flavor.
6068.0,quicken,The sight of her old friend walking towards her made her footsteps quicken as she rushed to greet them.
6069.0,apprehension,She felt a sense of apprehension as she walked alone down the dark street.
6069.0,apprehension,"Despite his confident demeanor, there was a hint of apprehension in his voice when he spoke about the upcoming surgery."
6069.0,apprehension,The students waited with apprehension for the results of the final exam.
6069.0,apprehension,The company's sudden announcement of layoffs caused widespread apprehension among its employees.
6069.0,apprehension,"I understand your apprehension about investing in the stock market, given the current economic climate."
6070.0,fig,"My grandmother always had a fig tree in her backyard, and we would eat the ripe fruit straight from the branches."
6070.0,fig,"The recipe calls for dried figs, but I only have fresh ones; I wonder if I can substitute them."
6070.0,fig,"He didn't give a fig about the consequences of his actions, which frustrated everyone involved."
6070.0,fig,"We ordered a cheese board with grapes, nuts, and a delicious fig jam as an appetizer."
6070.0,fig,"After a long hike, we sat under the shade of a large fig tree to rest and enjoy the view."
6071.0,ripen,The tomatoes on the vine will ripen in the warm summer sun.
6071.0,ripen,"We need to pick the peaches soon, before they ripen and fall from the tree."
6071.0,ripen,The cheese needs a few more weeks in the cellar to fully ripen.
6071.0,ripen,"As the relationship began to ripen, they started discussing their future together."
6071.0,ripen,The artist's talent began to ripen after years of dedicated practice and experimentation.
6072.0,goldfish,The little boy was mesmerized by the goldfish swimming in its bowl.
6072.0,goldfish,"We won a goldfish at the county fair, but I'm not sure we're ready for the responsibility."
6072.0,goldfish,"My daughter's goldfish, Finny, seems to enjoy watching us eat dinner."
6072.0,goldfish,She sprinkled some goldfish crackers on her salad for a salty crunch.
6072.0,goldfish,"The pet store had a beautiful selection of goldfish, from common to fancy varieties."
6073.0,rot,The old wooden fence began to rot after years of exposure to the rain and sun.
6073.0,rot,"If you don't refrigerate the strawberries, they will quickly rot and become unusable."
6073.0,rot,The corruption within the government started to rot the entire system from the inside out.
6073.0,rot,He felt a creeping rot of despair settle into his soul after losing his job.
6073.0,rot,"The dentist warned me that if I didn't brush my teeth regularly, the sugar would cause them to rot."
6074.0,distributer,Our company is looking for a reliable distributor to help us expand our product reach in the European market.
6074.0,distributer,The local distributor for that brand of coffee beans always has the freshest stock.
6074.0,distributer,We had a falling out with our previous distributor due to their poor handling of customer service issues.
6074.0,distributer,"As a distributor, they specialize in supplying restaurants with high-quality kitchen equipment."
6074.0,distributer,"Before signing the contract, we need to carefully review the distributor's responsibilities and performance metrics."
6075.0,simplify,"The software update aims to simplify the user interface, making it more intuitive for new users."
6075.0,simplify,"To simplify the recipe, I used pre-made pie crust instead of making it from scratch."
